job_id,raw_job_title,company_name,salary_range,job_description_html,posted_date
JOB_0000,data scientist,TechCorp,$79k - $99k,<p>Looking for a data scientist at TechCorp.</p> <ul><li>Experience with AWS</li><li>Experience with Python</li><li>Experience with Excel</li></ul>,02/10/2026
JOB_0001,data scientist,DataInc,62475-124673,<p>Looking for a data scientist at DataInc.</p> <ul><li>Experience with Tableau</li><li>Experience with GCP</li></ul>,02/26/2026
JOB_0002,Sr. Data Analyst,StartupX,Up to $106k,<p>Looking for a Sr. Data Analyst at StartupX.</p> <ul><li>Experience with GCP</li><li>Experience with SQL</li><li>Experience with AWS</li><li>Experience with Excel</li></ul>,01/09/2026
JOB_0003,sr. data analyst,DataInc,85754-127572,<p>Looking for a sr. data analyst at DataInc.</p> <ul><li>Experience with AWS</li><li>Experience with GCP</li></ul>,04/02/2026
JOB_0004,Sr. Data Analyst,DataInc,61691-104917,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with Python</li><li>Experience with Machine Learning</li><li>Experience with SQL</li><li>Experience with Tableau</li></ul>,01/22/2026
JOB_0005,Lead Analytics,Enterprise Solutions,,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with Python</li><li>Experience with AWS</li></ul> <br> <b>Must be willing to relocate.</b>,01/29/2026
JOB_0006,Jr Data Analst ,QuickHyre,,<p>Looking for a Jr Data Analst at QuickHyre.</p> <ul><li>Experience with AWS</li><li>Experience with Python</li><li>Experience with GCP</li></ul>,01/17/2026
JOB_0007,Jr Data Analst ,DataInc,$72k - $124k,<p>Looking for a Jr Data Analst at DataInc.</p> <ul><li>Experience with Python</li><li>Experience with AWS</li><li>Experience with SQL</li><li>Experience with GCP</li><li>Experience with Machine Learning</li></ul>,03/19/2026
JOB_0008,Lead Analytics,DataInc,,<p>Looking for a Lead Analytics at DataInc.</p> <ul><li>Experience with Excel</li><li>Experience with SQL</li><li>Experience with Tableau</li><li>Experience with Python</li><li>Experience with Machine Learning</li></ul>,02/18/2026
JOB_0009,Lead Analytics,DataInc,,<p>Looking for a Lead Analytics at DataInc.</p> <ul><li>Experience with Excel</li><li>Experience with GCP</li><li>Experience with AWS</li><li>Experience with Tableau</li><li>Experience with SQL</li></ul>,01/17/2026
JOB_0010,Sr. Data Analyst,DataInc,$62k - $114k,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with SQL</li><li>Experience with AWS</li><li>Experience with Python</li><li>Experience with Tableau</li><li>Experience with Excel</li></ul>,04/06/2026
JOB_0011,Jr Data Analst ,Enterprise Solutions,$89k - $125k,<p>Looking for a Jr Data Analst at Enterprise Solutions.</p> <ul><li>Experience with GCP</li><li>Experience with Tableau</li><li>Experience with SQL</li></ul>,02/27/2026
JOB_0012,data scientist,QuickHyre,Up to $127k,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with GCP</li><li>Experience with Python</li><li>Experience with Excel</li><li>Experience with AWS</li></ul>,01/08/2026
JOB_0013,sr. data analyst,QuickHyre,Up to $133k,<p>Looking for a sr. data analyst at QuickHyre.</p> <ul><li>Experience with AWS</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with Excel</li></ul> <br> <b>Must be willing to relocate.</b>,04/05/2026
JOB_0014,Lead Analytics,Enterprise Solutions,$72k - $104k,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with GCP</li><li>Experience with Machine Learning</li><li>Experience with Tableau</li><li>Experience with AWS</li><li>Experience with Python</li></ul> <br> <b>Must be willing to relocate.</b>,03/26/2026
JOB_0015,lead analytics,Enterprise Solutions,89397-100737,<p>Looking for a lead analytics at Enterprise Solutions.</p> <ul><li>Experience with Machine Learning</li><li>Experience with SQL</li><li>Experience with GCP</li><li>Experience with Excel</li></ul>,01/01/2026
JOB_0016,  Data Analyst ,QuickHyre,,<p>Looking for a Data Analyst at QuickHyre.</p> <ul><li>Experience with AWS</li><li>Experience with SQL</li></ul>,
JOB_0017,Jr Data Analst ,Enterprise Solutions,$70k - $116k,<p>Looking for a Jr Data Analst at Enterprise Solutions.</p> <ul><li>Experience with Power BI</li><li>Experience with Python</li><li>Experience with Machine Learning</li><li>Experience with Tableau</li></ul>,03/26/2026
JOB_0018,jr data analst ,DataInc,$80k - $128k,<p>Looking for a jr data analst at DataInc.</p> <ul><li>Experience with Power BI</li><li>Experience with SQL</li></ul>,02/26/2026
JOB_0019,Lead Analytics,StartupX,$70k - $105k,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with Python</li><li>Experience with AWS</li></ul>,01/16/2026
JOB_0020,Jr Data Analst ,Enterprise Solutions,65150-109674,<p>Looking for a Jr Data Analst at Enterprise Solutions.</p> <ul><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with AWS</li><li>Experience with Python</li></ul>,03/01/2026
JOB_0021,Jr Data Analst ,StartupX,80442-117433,<p>Looking for a Jr Data Analst at StartupX.</p> <ul><li>Experience with Machine Learning</li><li>Experience with AWS</li><li>Experience with Power BI</li></ul>,01/13/2026
JOB_0022,  Data Analyst ,QuickHyre,$78k - $119k,<p>Looking for a Data Analyst at QuickHyre.</p> <ul><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with GCP</li><li>Experience with AWS</li></ul>,04/03/2026
JOB_0023,  data analyst ,DataInc,Up to $128k,<p>Looking for a data analyst at DataInc.</p> <ul><li>Experience with Power BI</li><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,03/19/2026
JOB_0024,data scientist,QuickHyre,,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with GCP</li><li>Experience with Python</li><li>Experience with SQL</li></ul>,02/19/2026
JOB_0025,Sr. Data Analyst,DataInc,,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with Excel</li><li>Experience with Python</li><li>Experience with AWS</li></ul>,
JOB_0026,Sr. Data Analyst,DataInc,$87k - $104k,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with Excel</li><li>Experience with AWS</li><li>Experience with Power BI</li><li>Experience with Python</li></ul>,03/29/2026
JOB_0027,Jr Data Analst ,QuickHyre,,<p>Looking for a Jr Data Analst at QuickHyre.</p> <ul><li>Experience with Power BI</li><li>Experience with Python</li><li>Experience with Machine Learning</li></ul>,01/16/2026
JOB_0028,jr data analst ,Enterprise Solutions,Up to $118k,<p>Looking for a jr data analst at Enterprise Solutions.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Python</li><li>Experience with AWS</li><li>Experience with SQL</li><li>Experience with Tableau</li></ul>,02/13/2026
JOB_0029,Jr Data Analst ,StartupX,,<p>Looking for a Jr Data Analst at StartupX.</p> <ul><li>Experience with SQL</li><li>Experience with AWS</li></ul>,01/04/2026
JOB_0030,jr data analst ,TechCorp,,<p>Looking for a jr data analst at TechCorp.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Tableau</li><li>Experience with Excel</li><li>Experience with AWS</li><li>Experience with Python</li></ul> <br> <b>Must be willing to relocate.</b>,02/03/2026
JOB_0031,Sr. Data Analyst,DataInc,Up to $116k,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with Tableau</li><li>Experience with SQL</li><li>Experience with Python</li></ul>,02/07/2026
JOB_0032,  Data Analyst ,StartupX,Up to $122k,<p>Looking for a Data Analyst at StartupX.</p> <ul><li>Experience with Excel</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with AWS</li></ul>,
JOB_0033,sr. data analyst,QuickHyre,61367-129760,<p>Looking for a sr. data analyst at QuickHyre.</p> <ul><li>Experience with AWS</li><li>Experience with Tableau</li><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,02/15/2026
JOB_0034,Lead Analytics,StartupX,$82k - $107k,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with Power BI</li><li>Experience with Machine Learning</li></ul>,04/07/2026
JOB_0035,DATA ANALYST - SQL,TechCorp,Up to $140k,<p>Looking for a DATA ANALYST - SQL at TechCorp.</p> <ul><li>Experience with Excel</li><li>Experience with Python</li></ul> <br> <b>Must be willing to relocate.</b>,01/06/2026
JOB_0036,Lead Analytics,StartupX,61635-108832,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with AWS</li></ul>,04/09/2026
JOB_0037,  Data Analyst ,StartupX,$81k - $108k,<p>Looking for a Data Analyst at StartupX.</p> <ul><li>Experience with Machine Learning</li><li>Experience with SQL</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with Tableau</li></ul>,03/07/2026
JOB_0038,Sr. Data Analyst,Enterprise Solutions,$77k - $125k,<p>Looking for a Sr. Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with Power BI</li><li>Experience with Excel</li><li>Experience with AWS</li><li>Experience with SQL</li></ul>,01/21/2026
JOB_0039,data scientist,StartupX,Up to $150k,<p>Looking for a data scientist at StartupX.</p> <ul><li>Experience with AWS</li><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with Excel</li></ul>,03/16/2026
JOB_0040,  Data Analyst ,QuickHyre,Up to $150k,<p>Looking for a Data Analyst at QuickHyre.</p> <ul><li>Experience with Power BI</li><li>Experience with AWS</li></ul>,01/06/2026
JOB_0041,  Data Analyst ,Enterprise Solutions,$84k - $109k,<p>Looking for a Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with GCP</li><li>Experience with AWS</li><li>Experience with SQL</li><li>Experience with Excel</li></ul>,02/03/2026
JOB_0042,data scientist,TechCorp,,<p>Looking for a data scientist at TechCorp.</p> <ul><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,02/21/2026
JOB_0043,data scientist,QuickHyre,,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with AWS</li><li>Experience with Excel</li></ul>,02/24/2026
JOB_0044,DATA ANALYST - SQL,StartupX,Up to $130k,<p>Looking for a DATA ANALYST - SQL at StartupX.</p> <ul><li>Experience with AWS</li><li>Experience with Power BI</li><li>Experience with Machine Learning</li><li>Experience with Tableau</li><li>Experience with Excel</li></ul> <br> <b>Must be willing to relocate.</b>,04/06/2026
JOB_0045,data scientist,TechCorp,,<p>Looking for a data scientist at TechCorp.</p> <ul><li>Experience with Power BI</li><li>Experience with Excel</li></ul>,
JOB_0046,Sr. Data Analyst,TechCorp,,<p>Looking for a Sr. Data Analyst at TechCorp.</p> <ul><li>Experience with Tableau</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Python</li></ul>,02/22/2026
JOB_0047,Jr Data Analst ,DataInc,Up to $117k,<p>Looking for a Jr Data Analst at DataInc.</p> <ul><li>Experience with Tableau</li><li>Experience with SQL</li><li>Experience with AWS</li></ul>,01/20/2026
JOB_0048,Sr. Data Analyst,StartupX,$73k - $105k,<p>Looking for a Sr. Data Analyst at StartupX.</p> <ul><li>Experience with Power BI</li><li>Experience with Tableau</li><li>Experience with AWS</li></ul>,01/23/2026
JOB_0049,Lead Analytics,Enterprise Solutions,$60k - $99k,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with AWS</li><li>Experience with GCP</li><li>Experience with Power BI</li></ul>,04/06/2026
JOB_0050,data analyst - sql,Enterprise Solutions,86985-100557,<p>Looking for a data analyst - sql at Enterprise Solutions.</p> <ul><li>Experience with Python</li><li>Experience with AWS</li><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with Power BI</li></ul>,01/07/2026
